framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Application and Service Resilience,Performance,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Endpoint Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Network Monitoring,Network_Resolution,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Network Monitoring,Network_Sessions,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Network Monitoring,Network_Traffic,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Vulnerability Management,Updates,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"vulnerability, patching, remediation, updates, weaknesses",Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Vulnerability Management: Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Vulnerability Management,Vulnerabilities,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"vulnerability, patching, remediation, updates, weaknesses",Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Vulnerability Management: Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Alerting and Detection,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Alerting and Detection,Event_Signatures,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Alerting and Detection,Intrusion_Detection,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Incident and Case Management,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"incident, response, case, escalation, ticket, reporting",Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Incident and Case Management: Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Incident and Case Management,Ticket_Management,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"incident, response, case, escalation, ticket, reporting",Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Incident and Case Management: Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Alerting and Detection,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Alerting and Detection,Event_Signatures,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Alerting and Detection,Intrusion_Detection,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Application and Service Resilience,Application_State,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Application and Service Resilience,Databases,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Application and Service Resilience,Interprocess_Messaging,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Application and Service Resilience,JVM,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Application and Service Resilience,Performance,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Vulnerability Management,Updates,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"vulnerability, patching, remediation, updates, weaknesses",Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Vulnerability Management: Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Vulnerability Management,Vulnerabilities,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"vulnerability, patching, remediation, updates, weaknesses",Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Vulnerability Management: Vulnerability discovery and remediation evidence aligns to Vulnerabilities and Updates.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Application and Service Resilience,Application_State,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Application and Service Resilience,Databases,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Application and Service Resilience,Interprocess_Messaging,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Application and Service Resilience,JVM,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Application and Service Resilience,Performance,Medium,Medium,Medium,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable where operational resilience evidence is required; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"availability, resilience, performance, service, application, database, processing integrity","Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Application and Service Resilience: Operational resilience and service health controls align to application, performance, JVM, database and messaging telemetry.",2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and Default,Art 25,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and Default,Art 25,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and Default,Art 25,Data Access Monitoring,DLP,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and Default,Art 25,Data Access Monitoring,Data_Access,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and Default,Art 25,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
