framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
DORA,Regulation (EU) 2022/2554,Art 11 - Response and Recovery,Art 11,Application and Service Resilience,Performance,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"recovery, availability",Availability/performance telemetry can support potential evidence of recovery effectiveness.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 11 maps to Performance as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 11 - Response and Recovery,Art 11,Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"response, alert",Alerts can support potential evidence of incident identification for response.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 11 maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 11 - Response and Recovery,Art 11,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"response, recovery, incident",Incident/case telemetry is primary potential evidence for response and recovery handling.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 11 maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 9 - Protection and Prevention,Art 9,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"protection, prevention, authentication",Authentication controls telemetry is primary potential evidence for protective access measures.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 9 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 9 - Protection and Prevention,Art 9,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"protection, endpoint",Endpoint telemetry can support potential evidence of host protection measures.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 9 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 9 - Protection and Prevention,Art 9,Malware Monitoring,Malware,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"protection, malware",Malware protection events are primary potential evidence for preventive ICT security measures.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 9 maps to Malware as primary evidence; grouped under Malware Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 9 - Protection and Prevention,Art 9,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"protection, network",Network traffic telemetry can support potential evidence of protective network measures.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 9 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Application and Service Resilience,Performance,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"ICT risk, resilience",Service health may weakly support ICT risk posture for critical functions; prefer Art 9–11 where possible.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter II maps to Performance as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"ICT risk, change",Change events can support potential evidence of ICT risk-control implementation.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter II maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter II - ICT Risk Management,Chapter II,Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"ICT risk, vulnerability",Vulnerability findings can support potential evidence used in ICT risk management.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter II maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"incident, alert",Alerts can support potential evidence of ICT incident identification.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter III maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter III - ICT Incident Management Reporting,Chapter III,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"incident reporting, ticket",Incident tickets are primary potential evidence for incident management/reporting processes.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter III maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Alerting and Detection,Alerts,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"testing, detection",Alerts generated during tests may weakly support evidence that detections were exercised.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter IV maps to Alerts as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter IV - Digital Operational Resilience Testing,Chapter IV,Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"resilience testing, vulnerability",Vulnerability/testing findings can support potential evidence from resilience testing activities.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter IV maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Chapter V - ICT Third-Party Risk Management,Chapter V,Change Monitoring,Change,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"third party, supplier, change",Third-party/system change events provide only weak potential evidence for ICT third-party risk management.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Chapter V maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and by Default,Art 25,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"privacy by design, configuration",Configuration changes can support limited potential evidence of privacy-by-design control implementation.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 25 maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and by Default,Art 25,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"privacy by design, data minimisation",Data access patterns can support limited potential evidence of data-minimisation/default access design.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 25 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 25 - Data Protection by Design and by Default,Art 25,Endpoint Monitoring,Endpoint,Low,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"technical measures, endpoint",Endpoint telemetry is a stretch for Art 25; keep only as weak potential evidence of technical measures on hosts.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 25 maps to Endpoint as low-relevance evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 30 - Records of Processing Activities,Art 30,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"records of processing, personal data access",Data access telemetry can support limited potential evidence related to processing-activity visibility (not a RoPA substitute).,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 30 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"security of processing, authentication",Authentication events are primary potential evidence for access security of processing systems.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Certificate and Crypto Monitoring,Certificates,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"encryption, security of processing",Crypto/certificate telemetry can support potential evidence of encryption measures.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Certificates as supporting evidence; grouped under Certificate and Crypto Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"personal data, access",Data access events can support potential evidence of controlled personal-data access.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"technical measures, endpoint",Endpoint telemetry can support potential evidence of technical security measures on processing systems.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"network, security of processing",Network telemetry can support potential evidence of communications security for processing systems.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 32 - Security of Processing,Art 32,Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"security of processing, vulnerability",Vulnerability findings can support potential evidence of risk-appropriate security measures.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 32 maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 33 - Notification of a Personal Data Breach to the Supervisory Authority,Art 33,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"breach, data access",Data access anomalies can support potential evidence used when assessing personal-data breach scope.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 33 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 33 - Notification of a Personal Data Breach to the Supervisory Authority,Art 33,Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"breach, alert, detection",Alerts can support potential evidence of breach detection preceding notification.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 33 maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 33 - Notification of a Personal Data Breach to the Supervisory Authority,Art 33,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"personal data breach, notification, ticket",Incident/case tickets are primary potential evidence for breach-handling and notification workflows.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 33 maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 34 - Communication of a Personal Data Breach to the Data Subject,Art 34,Incident and Case Management,Alerts,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"breach, alert",Alerts may weakly support detection context for breaches requiring data-subject communication.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 34 maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 34 - Communication of a Personal Data Breach to the Data Subject,Art 34,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"breach communication, data subject, ticket",Case/ticket telemetry is primary potential evidence for breach communication workflows.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 34 maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 5 - Principles Relating to Processing of Personal Data,Art 5,Authentication Monitoring,Authentication,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"personal data, authentication",Authentication events can support potential evidence of controlled access to personal data systems.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 5 maps to Authentication as supporting evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 5 - Principles Relating to Processing of Personal Data,Art 5,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"integrity, change",Change events can support potential evidence of integrity protections on personal-data systems.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 5 maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 5 - Principles Relating to Processing of Personal Data,Art 5,Data Access Monitoring,DLP,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"personal data, DLP",DLP events can support potential evidence of personal-data exfiltration controls.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 5 maps to DLP as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
GDPR,Regulation (EU) 2016/679,Art 5 - Principles Relating to Processing of Personal Data,Art 5,Data Access Monitoring,Data_Access,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"personal data, integrity, confidentiality",Data access events are primary potential evidence for integrity/confidentiality of personal data access.,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,GDPR Art 5 maps to Data_Access as primary evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5 - Organizational Controls,A.5,Incident and Case Management,Ticket_Management,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"organizational, policy",Ticketing may weakly reflect organizational control workflows; A.5 alone is too broad for strong CIM links.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5 maps to Ticket_Management as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.15-A.5.18 - Access Control and Identity,A.5.15-A.5.18,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"access control, identity, authentication",Authentication events are primary potential evidence for ISO access/identity controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.15-A.5.18 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.15-A.5.18 - Access Control and Identity,A.5.15-A.5.18,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"access rights, data access",Data access events can support potential evidence of access-rights enforcement.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.15-A.5.18 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.15-A.5.18 - Access Control and Identity,A.5.15-A.5.18,Privileged Access Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"privileged, access rights",Administrative changes can support potential evidence of privileged access management.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.15-A.5.18 maps to Change as supporting evidence; grouped under Privileged Access Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.23 - Information Security for Use of Cloud Services,A.5.23,Application and Service Resilience,Performance,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"cloud, availability, performance",Service performance/availability telemetry can support potential evidence of cloud service health.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.23 maps to Performance as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
